FECHA,TMAX,TMIN,NOMBRE
29042021,25.3,9.6,SAN LUIS AERO
29042021,26.5,9.2,SAN MARTIN (MZA)
29042021,25.5,9.1,SAN RAFAEL AERO
29042021,10,4.1,SANTA CRUZ AERO
29042021,25.6,11,SANTA ROSA AERO
29042021,25,3.6,SANTA ROSA DE CONLARA AERO
29042021,26.4,8.8,SANTIAGO DEL ESTERO AERO
29042021,23.5,9.5,SAUCE VIEJO AERO
29042021,24,9.4,SUNCHALES AERO
29042021,23,4.8,TANDIL AERO
29042021,26,11,TARTAGAL AERO
29042021,27.6,10.5,TERMAS DE RIO HONDO AERO
29042021,27.5,7.5,TINOGASTA
29042021,24,8.9,TRELEW AERO
29042021,26.1,10,TRENQUE LAUQUEN
29042021,24,10.3,TRES ARROYOS
29042021,26.4,13.5,TUCUMAN AERO
29042021,7,2,USHUAIA AERO
29042021,22.5,0.6,USPALLATA
29042021,25,9.5,VENADO TUERTO AERO
29042021,26.6,9.6,VICTORICA
29042021,29.9,11.3,VIEDMA AERO
29042021,24.3,6.5,VILLA DE MARIA DEL RIO SECO
29042021,26.4,10.3,VILLA DOLORES AERO
29042021,24.1,8.5,VILLA GESELL AERO
29042021,28.5,5.2,VILLA REYNOLDS AERO
28042021,23.7,13.1,AEROPARQUE AERO
28042021,23.4,6.1,AZUL AERO
28042021,25.7,13.2,BAHIA BLANCA AERO
28042021,19,11.1,BARILOCHE AERO
28042021,-19,-24.5,BASE BELGRANO II
28042021,2,-1.3,BASE CARLINI (EX JUBANY)
28042021,1.2,-12.6,BASE ESPERANZA
28042021,-1.5,-19.2,BASE MARAMBIO
28042021,1.5,-1.5,BASE ORCADAS
28042021,0,-9.6,BASE SAN MARTIN
28042021,23.4,11.5,BENITO JUAREZ AERO
28042021,22.6,7.5,BERNARDO DE IRIGOYEN AERO
28042021,25.1,7,BOLIVAR AERO
28042021,24.5,11.4,BUENOS AIRES OBSERVATORIO
28042021,24.1,6.9,CAMPO DE MAYO AERO
28042021,28.5,11.4,CATAMARCA AERO
